,precision,recall,f1-score,support
basophil,0.7237354085603113,0.7622950819672131,0.7425149700598802,244.0
eosinophil,0.9300911854103343,0.9807692307692307,0.954758190327613,624.0
erythroblast,0.8862068965517241,0.8263665594855305,0.8552412645590682,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.7288732394366197,0.7150259067357513,0.7218831734960766,579.0
lymphocyte,0.8277153558052435,0.9094650205761317,0.8666666666666667,243.0
monocyte,0.7520661157024794,0.6408450704225352,0.6920152091254753,284.0
neutrophil,0.9373134328358209,0.9429429429429429,0.9401197604790419,666.0
platelet,0.9936034115138592,0.9914893617021276,0.9925452609158679,470.0
accuracy,0.866997953814674,0.866997953814674,0.866997953814674,0.866997953814674
macro avg,0.8474506307270491,0.8461498968251828,0.8457180619537112,3421.0
weighted avg,0.8654084325771711,0.866997953814674,0.8654316009039096,3421.0
