,precision,recall,f1-score,support
basophil,0.675,0.5532786885245902,0.6081081081081081,244.0
eosinophil,0.892802450229709,0.9342948717948718,0.913077525450274,624.0
erythroblast,0.834920634920635,0.8456591639871383,0.8402555910543131,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.635593220338983,0.6476683937823834,0.6415739948674081,579.0
lymphocyte,0.8040816326530612,0.8106995884773662,0.8073770491803278,243.0
monocyte,0.6227758007117438,0.6161971830985915,0.6194690265486724,284.0
neutrophil,0.9082706766917293,0.9069069069069069,0.9075882794891058,666.0
platelet,0.9957627118644068,1.0,0.9978768577494692,470.0
accuracy,0.8190587547500731,0.8190587547500731,0.8190587547500731,0.8190587547500731
macro avg,0.7961508909262835,0.7893380995714809,0.7919158040559598,3421.0
weighted avg,0.8169115552089211,0.8190587547500731,0.8174531803209902,3421.0
