,precision,recall,f1-score,support
basophil,0.7184873949579832,0.7008196721311475,0.7095435684647303,244.0
eosinophil,0.9388714733542319,0.9599358974358975,0.9492868462757528,624.0
erythroblast,0.8677966101694915,0.8231511254019293,0.8448844884488449,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6890034364261168,0.6925734024179621,0.6907838070628768,579.0
lymphocyte,0.8044280442804428,0.897119341563786,0.8482490272373542,243.0
monocyte,0.6613545816733067,0.5845070422535211,0.6205607476635514,284.0
neutrophil,0.9164179104477612,0.9219219219219219,0.9191616766467066,666.0
platelet,0.9831932773109243,0.9957446808510638,0.9894291754756871,470.0
accuracy,0.8456591639871383,0.8456591639871383,0.8456591639871383,0.8456591639871383
macro avg,0.8224440910775324,0.8219716354971537,0.821487417159438,3421.0
weighted avg,0.8435312317585302,0.8456591639871383,0.8441285232545646,3421.0
