,precision,recall,f1-score,support
basophil,0.7412280701754386,0.6926229508196722,0.7161016949152542,244.0
eosinophil,0.94896331738437,0.9535256410256411,0.9512390087929656,624.0
erythroblast,0.8682432432432432,0.8263665594855305,0.8467874794069192,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6555386949924128,0.7461139896373057,0.6978998384491115,579.0
lymphocyte,0.8210116731517509,0.8683127572016461,0.8440000000000001,243.0
monocyte,0.7543859649122807,0.6056338028169014,0.671875,284.0
neutrophil,0.9177018633540373,0.8873873873873874,0.902290076335878,666.0
platelet,0.966804979253112,0.9914893617021276,0.9789915966386555,470.0
accuracy,0.8456591639871383,0.8456591639871383,0.8456591639871383,0.8456591639871383
macro avg,0.8342347258083307,0.8214315562595265,0.8261480868173481,3421.0
weighted avg,0.8482702555023748,0.8456591639871383,0.8455693098110444,3421.0
