,precision,recall,f1-score,support
basophil,0.6982758620689655,0.6639344262295082,0.680672268907563,244.0
eosinophil,0.9210526315789473,0.9535256410256411,0.9370078740157481,624.0
erythroblast,0.8848684210526315,0.864951768488746,0.8747967479674796,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.657439446366782,0.6563039723661486,0.6568712186689714,579.0
lymphocyte,0.819672131147541,0.823045267489712,0.8213552361396305,243.0
monocyte,0.6972111553784861,0.6161971830985915,0.6542056074766355,284.0
neutrophil,0.8847262247838616,0.9219219219219219,0.9029411764705882,666.0
platelet,0.9915254237288136,0.9957446808510638,0.9936305732484078,470.0
accuracy,0.8368897983045893,0.8368897983045893,0.8368897983045893,0.8368897983045893
macro avg,0.8193464120132536,0.8119531076839167,0.815185087861878,3421.0
weighted avg,0.8340837713238126,0.8368897983045893,0.8351113940625404,3421.0
