,precision,recall,f1-score,support
basophil,0.696969696969697,0.6598360655737705,0.6778947368421052,244.0
eosinophil,0.9042386185243328,0.9230769230769231,0.9135606661379858,624.0
erythroblast,0.8544303797468354,0.8681672025723473,0.861244019138756,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6818181818181818,0.6735751295336787,0.677671589921807,579.0
lymphocyte,0.8702928870292888,0.8559670781893004,0.8630705394190871,243.0
monocyte,0.6872964169381107,0.7429577464788732,0.7140439932318103,284.0
neutrophil,0.9274691358024691,0.9024024024024024,0.9147640791476409,666.0
platelet,0.9978768577494692,1.0,0.9989373007438895,470.0
accuracy,0.8439052908506285,0.8439052908506285,0.8439052908506285,0.8439052908506285
macro avg,0.8275490218222981,0.8282478184784119,0.8276483655728852,3421.0
weighted avg,0.844249050259871,0.8439052908506285,0.8438862774612936,3421.0
