,precision,recall,f1-score,support
basophil,0.6929824561403509,0.6475409836065574,0.6694915254237288,244.0
eosinophil,0.9316770186335404,0.9615384615384616,0.9463722397476341,624.0
erythroblast,0.910958904109589,0.8553054662379421,0.8822553897180763,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6862745098039216,0.7253886010362695,0.7052896725440806,579.0
lymphocyte,0.8738738738738738,0.7983539094650206,0.8344086021505375,243.0
monocyte,0.7567567567567568,0.6901408450704225,0.721915285451197,284.0
neutrophil,0.8701298701298701,0.9054054054054054,0.8874172185430463,666.0
platelet,0.9978768577494692,1.0,0.9989373007438895,470.0
accuracy,0.8497515346389944,0.8497515346389944,0.8497515346389944,0.8497515346389944
macro avg,0.8400662808996715,0.8229592090450099,0.8307609042902737,3421.0
weighted avg,0.8497206156676825,0.8497515346389944,0.8491499522657924,3421.0
