,precision,recall,f1-score,support
basophil,0.6939655172413793,0.6598360655737705,0.6764705882352942,244.0
eosinophil,0.964573268921095,0.9599358974358975,0.9622489959839358,624.0
erythroblast,0.8838028169014085,0.8070739549839229,0.8436974789915966,311.0
"immature granulocytes(myelocytes, metamyelocytes and promyelocytes)",0.6433770014556041,0.7633851468048359,0.69826224328594,579.0
lymphocyte,0.7572463768115942,0.8600823045267489,0.8053949903660886,243.0
monocyte,0.7758620689655172,0.4753521126760563,0.5895196506550218,284.0
neutrophil,0.888235294117647,0.9069069069069069,0.8974739970282317,666.0
platelet,0.9978586723768736,0.9914893617021276,0.9946638207043758,470.0
accuracy,0.8380590470622625,0.8380590470622625,0.8380590470622625,0.8380590470622625
macro avg,0.8256151270988898,0.8030077188262833,0.8084664706563105,3421.0
weighted avg,0.8428860698520024,0.8380590470622625,0.836167843627354,3421.0
